iter	Passed	Remaining
591	1294	891
592	1296	889
593	1297	887
594	1299	884
595	1301	882
596	1302	879
597	1304	876
598	1306	874
599	1308	872
600	1309	869
601	1311	867
602	1313	864
603	1314	862
604	1316	859
605	1317	856
606	1319	854
607	1321	851
608	1323	849
609	1324	847
610	1326	844
611	1328	842
612	1329	839
613	1331	836
614	1333	834
615	1334	831
616	1336	829
617	1338	827
618	1339	824
619	1341	822
620	1343	819
621	1344	817
622	1346	814
623	1347	812
624	1349	809
625	1351	807
626	1353	804
627	1354	802
628	1356	800
629	1358	797
630	1359	795
631	1361	792
632	1362	790
633	1364	787
634	1366	785
635	1368	783
636	1369	780
637	1371	778
638	1373	775
639	1374	773
640	1376	770
641	1378	768
642	1379	766
643	1381	763
644	1383	761
645	1385	759
646	1387	756
647	1388	754
648	1390	752
649	1392	749
650	1394	747
651	1396	745
652	1405	746
653	1406	744
654	1408	741
655	1410	739
656	1412	737
657	1414	735
658	1416	732
659	1417	730
660	1419	727
661	1420	725
662	1422	722
663	1423	720
664	1425	718
665	1427	715
666	1429	713
667	1431	711
668	1432	708
669	1434	706
670	1435	703
671	1437	701
672	1439	699
673	1440	696
674	1442	694
675	1444	692
676	1446	689
677	1447	687
678	1449	685
679	1450	682
680	1452	680
681	1453	677
682	1456	675
683	1457	673
684	1459	671
685	1461	668
686	1463	666
687	1465	664
688	1466	662
689	1468	659
690	1470	657
691	1472	655
692	1474	653
693	1476	650
694	1477	648
695	1479	646
696	1481	643
697	1483	641
698	1485	639
699	1487	637
700	1489	635
701	1491	632
702	1492	630
703	1494	628
704	1496	626
705	1497	623
706	1499	621
707	1501	619
708	1503	616
709	1504	614
710	1506	612
711	1507	609
712	1509	607
713	1511	605
714	1512	603
715	1515	600
716	1517	598
717	1519	596
718	1520	594
719	1522	591
720	1523	589
721	1525	587
722	1526	585
723	1528	582
724	1530	580
725	1532	578
726	1534	576
727	1535	573
728	1537	571
729	1538	569
730	1540	566
731	1541	564
732	1543	562
733	1545	560
734	1547	557
735	1548	555
736	1550	553
737	1552	551
738	1553	548
739	1555	546
740	1556	544
741	1558	541
742	1560	539
743	1562	537
744	1563	535
745	1565	532
746	1567	530
747	1568	528
748	1570	526
749	1572	524
750	1574	521
751	1576	519
752	1578	517
753	1579	515
754	1581	513
755	1583	510
756	1584	508
757	1586	506
758	1587	504
759	1589	502
760	1591	499
761	1593	497
762	1594	495
763	1596	493
764	1598	490
765	1599	488
766	1601	486
767	1603	484
768	1605	482
769	1607	480
770	1609	477
771	1610	475
772	1612	473
773	1614	471
774	1616	469
775	1618	467
776	1620	465
777	1622	463
778	1625	461
779	1626	458
780	1628	456
781	1630	454
782	1632	452
783	1634	450
784	1636	448
785	1638	446
786	1640	443
787	1641	441
788	1643	439
789	1644	437
790	1646	434
791	1648	432
792	1650	430
793	1652	428
794	1653	426
795	1655	424
796	1656	422
797	1658	419
798	1660	417
799	1661	415
800	1663	413
801	1666	411
802	1667	409
803	1669	406
804	1670	404
805	1672	402
806	1673	400
807	1675	398
808	1677	395
809	1679	393
810	1681	391
811	1683	389
812	1686	387
813	1688	385
814	1691	383
815	1693	381
816	1696	380
817	1700	378
818	1703	376
819	1706	374
820	1709	372
821	1714	371
822	1716	369
823	1719	367
824	1722	365
825	1727	363
826	1732	362
827	1736	360
828	1738	358
829	1741	356
830	1743	354
831	1745	352
832	1747	350
833	1749	348
834	1751	346
835	1753	344
836	1755	341
837	1757	339
838	1768	339
839	1770	337
840	1772	335
841	1774	333
842	1776	330
843	1778	328
844	1780	326
845	1782	324
846	1784	322
847	1786	320
848	1789	318
849	1791	316
850	1793	314
851	1796	312
852	1798	310
853	1803	308
854	1805	306
855	1807	304
856	1812	302
857	1817	300
858	1819	298
859	1823	296
860	1837	296
861	1841	294
862	1847	293
863	1849	291
864	1852	289
865	1854	287
866	1857	284
867	1867	283
868	1889	284
869	1892	282
870	1894	280
871	1895	278
872	1897	276
873	1899	273
874	1901	271
875	1903	269
876	1904	267
877	1906	264
878	1908	262
879	1910	260
880	1914	258
881	1917	256
882	1922	254
883	1927	252
884	1929	250
885	1933	248
886	1937	246
887	1941	244
888	1945	242
889	1947	240
890	1949	238
891	1951	236
892	1954	234
893	1957	232
894	1960	230
895	1962	227
896	1964	225
897	1966	223
898	1970	221
899	1971	219
900	1973	216
901	1975	214
902	1977	212
903	1978	210
904	1980	207
905	1981	205
906	1983	203
907	1985	201
908	1987	198
909	1988	196
910	1990	194
911	1992	192
912	1993	189
913	1995	187
914	1996	185
915	1998	183
916	2001	181
917	2003	178
918	2004	176
919	2006	174
920	2008	172
921	2009	170
922	2012	167
923	2014	165
924	2016	163
925	2018	161
926	2020	159
927	2022	156
928	2023	154
929	2025	152
930	2029	150
931	2031	148
932	2033	145
933	2034	143
934	2036	141
935	2038	139
936	2039	137
937	2042	134
938	2044	132
939	2045	130
940	2048	128
941	2049	126
942	2051	124
943	2053	121
944	2055	119
945	2058	117
